# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [30.0, 30.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [30.0, 30.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [30.0, 30.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [30.0, 30.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [30.0, 30.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [40.0, 40.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.5, 102.8, -8.843, [40.0, 40.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], -2.5, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], -3.0, 'registerzoff'
2, 25, 3.8, 2.26, -4.0, 102.8, -10.119, [40.0, 40.0], [0], [180], -3.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], 2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], 2.5, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], 3.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], -2.0, 'registerzoff'
2, 25, 3.8, 2.26, -3.0, 102.8, -7.572, [50.0, 50.0], [0], [180], -2.5, 'registerzoff'
